planId,type,description,resetPlanId,upgradePlanId,serverId,productId,serverGroupName,leverage,maxTrailingDrawdownPct,profitTargetPct,startingBalance,dailyLossLimitPct,upgradeThresholdPct,maxOpenLots,passUpgradeBreachMove,passUpgradeBreachGroup,profitSharePct,liquidateFriday,inactivityPeriod,requireStopLoss,isResetPlan,price,isInternalPlan,rules,resetUrl,minimumRequiredActiveTradingDays,maximumTime,passCertificateGroupId,vipProgramCertificateGroupId,vipProgramId,payoutCertificateGroupId,lifetimePayoutGroupCertificateId,visibleOnLeaderboard,repeatPlan,repeatEnable,initialWithdrawalDelayDays,subsequentWithdrawalDelayDays,upgradeDelayHours,allowEAs,dailyDrawdownByBalanceEquity,makeDrawdownStatic,platform,createAccountAsDisabled,productCategoryId,isSwing,priceFeed,additionalDrawdown,enableEA,reduceWithdrawalDelay,weeklyWithdrawals,additionalDrawdownPct,enableEaPct,reduceWeeklyWithdrawalPct,weeklyWithdrawalsPct,ninetyFivePayoutPct,additionalDrawdownDollarsAdded,enableEaDollarsAdded,reduceWeeklyWithdrawalDollarsAdded,weeklyWithdrawalsDollarsAdded,minimumProfitForWithdrawalPerct,ninetyFivePayoutDollarsAdded,archived,contractTemplateId,broker,ninetyFivePayout,dailyLossCapLimitPct,dailyCapProfitLimitPct,enableConsistency,eightyFivePayout,eightyFivePayoutPct,eightyFivePayoutDollarsAdded,maxWithdrawalPct0,maxWithdrawalPct1,maxWithdrawalPct2,maxWithdrawalPct3,inserted,updated,minimumProfitTradingDayPct,minimumRequiredProfitableTradingDays,UpgradePlanDescription,ServerGroupDescription,RepeatPlanDescription,PriceFeedProp,LiquidateFridayProp,RequireStopLossProp,CreateAccountAsDisabledProp,VisibleOnLeaderboardProp,AllowEAsProp,DailyDrawdownByBalanceEquityProp,MakeDrawdownStaticProp,PassUpgradeBreachMoveProp,EnableConsistencyProp,HasAddons
77,Rapid Challenge Phase 1,50K Rapid Challenge Phase 1 - Purple Trading SC-4,0,78,2,9999,FTRADER03USD,100,8.0000000000,8.0000000000,50000.0000000000,5.0000000000,8.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,299.0000000000,0,"Virtual Profit Target: $4,000
Virtual Max Daily Loss: $2,500
Virtual Max Total Loss: $4,000
Minimum Simulated Trading Days: 0 
Maximum Simulated Trading Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,02/22/2024 04:26:46,0.00,0,50K Rapid Challenge Phase 2 - Purple Trading SC-4,"Regular Phase 1  ",,None,False,False,False,False,False,False,True,True,False,True
80,Rapid Challenge Phase 1,100K Rapid Challenge Phase 1 - Purple Trading SC-4,0,81,2,9999,FTRADER03USD,100,8.0000000000,8.0000000000,100000.0000000000,5.0000000000,8.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,499.0000000000,0,"Virtual Profit Target: $8,000
Virtual Max Daily Loss: $5,000
Virtual Max Total Loss: $8,000
Minimum Simulated Trading Days: 0 
Maximum Simulated Trading Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:21:43,0.00,0,100K Rapid Challenge Phase 2 - Purple Trading SC-4,"Regular Phase 1  ",,None,False,False,False,False,False,False,True,True,False,True
83,Rapid Challenge Phase 1,200K Rapid Challenge Phase 1 - Purple Trading SC-4,0,84,2,9999,FTRADER03USD,100,8.0000000000,8.0000000000,200000.0000000000,5.0000000000,8.0000000000,0.0000000000,1,CLOSINGUSD,0.0000000000,0,35,0,0,899.0000000000,0,"Profit Target: $16,000
Max Daily Loss: $10,000
Max Total Loss: $16,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Purple Trading SC,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,02/22/2024 04:31:58,0.00,0,200K Rapid Challenge Phase 2 - Purple Trading SC-4,"Regular Phase 1  ",,None,False,False,False,False,False,False,True,True,False,True
94,Rapid Challenge Phase 1,50K Rapid Challenge Phase 1 - Eightcap-4,0,100,3,9999,FdemoF1_Raw-USD,100,8.0000000000,8.0000000000,50000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,299.0000000000,0,"Profit Target: $4,000
Max Daily Loss: $2,500
Max Total Loss: $4,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:22:06,0.00,0,50K Rapid Challenge Phase 2 - Eightcap-4,"Regular Phase 1  ",,None,False,False,False,False,False,False,True,False,False,True
95,Rapid Challenge Phase 1,50K Rapid Challenge Phase 1 - Eightcap-5,0,101,4,9999,demo\FT1-RAW-USD,100,8.0000000000,8.0000000000,50000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,299.0000000000,0,"Profit Target: $4,000
Max Daily Loss: $2,500
Max Total Loss: $4,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:22:21,0.00,0,50K Rapid Challenge Phase 2 - Eightcap-5,"Regular Phase 1 EA ",,None,False,False,False,False,False,False,True,False,False,True
96,Rapid Challenge Phase 1,100K Rapid Challenge Phase 1 - Eightcap-4,0,102,3,9999,FdemoF1_Raw-USD,100,8.0000000000,8.0000000000,100000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,499.0000000000,0,"Profit Target: $8,000
Max Daily Loss: $5,000
Max Total Loss: $8,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:22:44,0.00,0,100K Rapid Challenge Phase 2 - Eightcap-4,"Regular Phase 1  ",,None,False,False,False,False,False,False,True,False,False,True
97,Rapid Challenge Phase 1,100K Rapid Challenge Phase 1 - Eightcap-5,0,103,4,9999,demo\FT1-RAW-USD,100,8.0000000000,8.0000000000,100000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,499.0000000000,0,"Profit Target: $8,000
Max Daily Loss: $5,000
Max Total Loss: $8,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:22:58,0.00,0,100K Rapid Challenge Phase 2 - Eightcap-5,"Regular Phase 1 EA ",,None,False,False,False,False,False,False,True,False,False,True
98,Rapid Challenge Phase 1,200K Rapid Challenge Phase 1 - Eightcap-4,0,104,3,9999,FdemoF1_Raw-USD,100,8.0000000000,8.0000000000,200000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,899.0000000000,0,"Profit Target: $16,000
Max Daily Loss: $10,000
Max Total Loss: $16,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT4,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:23:15,0.00,0,200K Rapid Challenge Phase 2 - Eightcap-4,"Regular Phase 1  ",,None,False,False,False,False,False,False,True,False,False,True
99,Rapid Challenge Phase 1,200K Rapid Challenge Phase 1 - Eightcap-5,0,105,4,9999,demo\FT1-RAW-USD,100,8.0000000000,8.0000000000,200000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,899.0000000000,0,"Profit Target: $16,000
Max Daily Loss: $10,000
Max Total Loss: $16,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT5,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,10/06/2023 14:23:38,0.00,0,200K Rapid Challenge Phase 2 - Eightcap-5,"Regular Phase 1 EA ",,None,False,False,False,False,False,False,True,False,False,True
142,Rapid Challenge Phase 1,200K Rapid Challenge Phase 1 (swing) - Eightcap-5,0,141,11,9999,demo\TF3-RAW-USD,30,8.0000000000,8.0000000000,200000.0000000000,5.0000000000,8.0000000000,0.0000000000,0,,0.0000000000,0,35,0,0,899.0000000000,0,"Profit Target: $16,000
Max Daily Loss: $10,000
Max Total Loss: $16,000
Minimum Trading Days: 0 
Maximum Days: 35

You can find a more detailed list of rules in our FAQ section here: 

https://help.thefundedtraderprogram.com/en/",,0,0,367781,0,0,0,0,0,0,1,0,0,6,0,0,1,MT5,0,0,1,0,0,0,0,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.0000000000,0.000000000000,1,0,Eightcap,0,0,0,0,0,0.000000000000,0.000000000000,0,0,0,0,09/08/2022 08:56:36,01/31/2024 10:02:56,0.00,0,200K Rapid Challenge Phase 2 (swing) - Eightcap-5,"demo\TF3-RAW-USD (Dedicated Server) Demo, Rapid Phase-1 (Swing)",,None,False,False,False,False,False,False,True,False,False,True
